BJD - 2454833, Corrected Flux
2315.314737157, 0.992377692,
2315.335169003, 0.992363447,
2315.355601050, 0.992390183,
2315.396465041, 0.992885653,
2315.416896887, 0.992220990,
2315.437328832, 0.992286177,
2315.457760876, 0.992124894,
2315.478192720, 0.992168924,
2315.498624664, 0.992477028,
2315.519056608, 0.992153701,
2315.539488551, 0.992402449,
2315.559920494, 0.992614084,
2315.580352436, 0.992685501,
2315.600784378, 0.992820086,
2315.621216320, 0.992607850,
2315.641648261, 0.992237927,
2315.662080202, 0.992431268,
2315.682512143, 0.992433121,
2315.702944183, 0.992344237,
2315.723376023, 0.991846075,
2315.743807963, 0.992121108,
2315.764240002, 0.992580042,
2315.784671841, 0.992480966,
2315.805103779, 0.992661835,
2315.825535817, 0.992755432,
2315.845967655, 0.993032905,
2315.886831630, 0.992430796,
2315.907263466, 0.992430823,
2315.927695502, 0.992315585,
2315.948127439, 0.992695509,
2315.968559274, 0.992846969,
2315.988991309, 0.992999649,
2316.009423244, 0.992309959,
2316.029855179, 0.992413823,
2316.070719047, 0.992956786,
2316.091150981, 0.992386899,
2316.111582914, 0.992537718,
2316.132014847, 0.992481482,
2316.152446779, 0.992304197,
2316.172878811, 0.992619055,
2316.193310643, 0.992327438,
2316.213742574, 0.992518351,
2316.234174505, 0.992285327,
2316.254606436, 0.992113146,
2316.275038267, 0.992253959,
2316.295470296, 0.992168036,
2316.315902226, 0.992031545,
2316.336334255, 0.992179565,
2316.377198013, 0.992411877,
2316.397630041, 0.992670555,
2316.418061869, 0.992383826,
2316.438493797, 0.992293775,
2316.458925824, 0.992439278,
2316.479357651, 0.992153773,
2316.499789577, 0.992427814,
2316.520221603, 0.992566791,
2316.540653529, 0.992458257,
2316.561085354, 0.992455749,
2316.581517380, 0.992664656,
2316.601949305, 0.992882462,
2316.622381129, 0.992501273,
2316.642813153, 0.992624688,
2316.663245077, 0.992398956,
2316.683676900, 0.992656296,
2316.704108923, 0.992547967,
2316.724540846, 0.992456857,
2316.744972668, 0.992792006,
2316.765404690, 0.992524517,
2316.785836611, 0.992447496,
2316.806268633, 0.992170269,
2316.826700454, 0.992288627,
2316.867564395, 0.992468464,
2316.949291972, 0.992750080,
2316.969723891, 0.992696366,
2316.990155909, 0.993029278,
2317.010587727, 0.992856484,
2317.031019644, 0.992795921,
2317.051451561, 0.992710884,
2317.071883478, 0.992697105,
2317.092315395, 0.992641016,
2317.112747411, 0.993675821,
2317.133179226, 0.992928298,
2317.153611142, 0.992699895,
2317.174043157, 0.992639469,
2317.194474972, 0.992559050,
2317.214906986, 0.992707367,
2317.235338900, 0.992582614,
2317.255770714, 0.992586988,
2317.276202727, 0.992793822,
2317.296634640, 0.992783371,
2317.317066453, 0.992545144,
2317.357930377, 0.992520857,
2317.378362289, 0.992697683,
2317.398794201, 0.992071069,
2317.419226111, 0.992468317,
2317.439658022, 0.992180904,
2317.460089932, 0.992089197,
2317.480521842, 0.991822827,
2317.500953752, 0.992127949,
2317.521385661, 0.992529698,
2317.541817570, 0.992349267,
2317.562249479, 0.992106301,
2317.582681487, 0.992609981,
2317.603113295, 0.992698314,
2317.623545203, 0.992484456,
2317.643977210, 0.992641285,
2317.664409017, 0.992427499,
2317.684841023, 0.992468830,
2317.705272930, 0.992601537,
2317.725704736, 0.992273673,
2317.746136741, 0.992523959,
2317.766568546, 0.992124237,
2317.787000451, 0.992331489,
2317.807432456, 0.992551567,
2317.848296164, 0.993952719,
2317.868728168, 0.992217803,
2317.889159971, 0.992258293,
2317.909591874, 0.992369565,
2317.930023876, 0.992525475,
2317.950455779, 0.992610749,
2317.970887581, 0.992864435,
2317.991319582, 0.992607426,
2318.011751483, 0.992361997,
2318.032183284, 0.992434842,
2318.052615285, 0.991985395,
2318.093478985, 0.992804732,
2318.113910985, 0.992993107,
2318.134342884, 0.992945653,
2318.154774883, 0.993008139,
2318.175206681, 0.992798821,
2318.195638580, 0.992864513,
2318.216070577, 0.993124497,
2318.236502375, 0.992895830,
2318.256934272, 0.992648325,
2318.277366269, 0.992802165,
2318.297798066, 0.992553366,
2318.359093754, 0.992705613,
2318.379525649, 0.992673463,
2318.399957644, 0.992517090,
2318.420389538, 0.992586416,
2318.440821333, 0.992806805,
2318.461253327, 0.992830078,
2318.481685120, 0.992822397,
2318.502117013, 0.992981730,
2318.522549007, 0.992979691,
2318.583844683, 0.992792773,
2318.604276475, 0.992861220,
2318.624708466, 0.992927012,
2318.645140357, 0.993060507,
2318.665572148, 0.993106840,
2318.686004138, 0.992813654,
2318.706436028, 0.992925540,
2318.726867818, 0.992595141,
2318.747299807, 0.992783756,
2318.767731697, 0.993122034,
2318.788163585, 0.992614978,
2318.829027362, 0.992836880,
2318.849459249, 0.992989487,
2318.869891237, 0.992958141,
2318.890323024, 0.992884680,
2318.910754911, 0.992947308,
2318.931186897, 0.993153420,
2318.951618683, 0.993008330,
2318.972050569, 0.993234740,
2318.992482554, 0.993036355,
2319.012914339, 0.993155738,
2319.033346324, 0.992770922,
2319.074209993, 0.993229244,
2319.094641977, 0.993183655,
2319.115073860, 0.992765927,
2319.135505644, 0.992889102,
